CODEASSU,AGE,VILLE,PROFESSION,PRIMTOTALE
4879,46,1,23,3184829
4204,38,1,27,96053
4265,62,27,8,89448
2952,68,30,32,15143
4761,45,2,6,95422
3753,25,24,7,21482
3224,34,28,14,115773
3225,64,21,15,140936
4755,42,16,15,30520
4870,39,2,23,80646
4202,46,16,22,26735
3175,68,14,0,14000
3760,67,3,16,108297
3826,41,24,21,127273
4582,52,23,11,63000
4203,50,10,2,21482
4780,57,17,16,21482
2750,32,20,16,36500
3228,39,18,8,87534
3795,34,21,19,69507
3243,39,28,16,53559
3591,38,16,17,23649
3847,62,14,23,89448
3089,50,9,1,89590
2843,43,22,0,18000
3793,42,21,8,22269
4782,67,0,10,36012
4672,48,28,3,114000
2634,67,1,12,30018
3702,45,31,27,42500
3762,41,11,19,38883
4734,29,2,22,20073
4765,25,5,15,21482
4595,34,13,8,23271
2500,32,4,15,98145
4280,34,17,23,26638
3576,61,17,32,18000
4242,29,10,8,878264
3393,42,29,18,34354
2972,30,27,8,96732
2949,31,27,13,140632
3044,69,31,13,109126
4422,38,26,9,110661
4394,41,31,23,115773
2979,54,10,9,185091
4408,53,1,24,90000
3688,35,11,27,30894
3149,32,11,32,139913
3328,48,15,5,91871
3019,61,13,13,105074
2868,49,27,28,26638
4720,39,6,11,120000
3168,66,1,17,97627
4890,59,1,21,67334
4569,65,10,22,55290
4211,40,23,3,56000
3900,46,22,3,22088
2655,47,30,5,46600
2505,53,25,16,27000
4220,30,9,26,130686
4859,33,27,9,31474
4691,61,7,1,28739
2874,62,16,12,32665
3398,47,24,27,22078
4230,50,14,11,45023
3525,31,10,3,52277
4695,56,10,23,133592
4470,58,11,0,98045
4874,58,4,10,37000
3580,62,21,16,14002
4854,43,22,16,103850
3164,28,4,0,162210
3817,31,30,4,30217
3344,26,31,23,21500
3548,55,2,10,60143
3343,46,22,23,25000
3850,52,21,16,26735
4859,33,27,9,25000
2901,32,1,23,115000
3351,64,21,9,75000
4188,26,4,5,285011
3165,35,1,12,23649
3461,56,2,26,87901
4484,40,19,13,31495
4794,29,4,15,129249
3449,39,17,26,82683
3959,51,1,14,125176
3674,60,1,4,16317
3919,66,27,3,111903
4363,32,15,0,37709
3677,27,19,11,24730
4590,69,12,17,55586
4751,51,5,17,23053
4738,52,11,0,127623
2773,45,9,13,35569
3116,41,13,23,3500800
3807,50,17,16,17500
3030,29,22,29,91871
4841,37,1,32,21000
3931,56,26,18,76278
3758,64,24,15,313652
3439,66,3,16,84988
3759,42,19,32,144448
3907,50,14,16,169935
3947,68,10,23,27000
4214,55,14,25,14951
3496,37,18,15,26817
2861,65,24,4,610683
3570,59,12,4,-79127
4523,55,21,10,57938
4524,31,23,8,143705
4084,41,24,29,163238
4101,56,6,21,75956
4292,67,28,20,26638
4553,38,25,15,21580
2991,25,28,0,53557
4855,49,1,22,100007
4355,65,28,5,89590
4463,53,1,8,91001
3427,43,9,8,103850
4086,59,15,20,89888
4037,58,18,11,23649
2884,49,0,12,91871
3539,50,17,0,51000
4150,49,27,15,17500
4997,35,7,12,21482
4537,37,14,15,20073
4766,30,7,0,80646
4072,41,9,9,23000
2517,31,8,27,87615
3662,29,31,0,21860
3244,47,26,23,37000
3936,33,8,23,23271
3411,37,31,3,23271
3280,57,5,14,93000
3868,31,18,14,15143
3875,55,12,21,72195
4953,57,14,8,22269
3313,42,12,7,72700
3401,33,18,31,28500
3954,27,30,14,18000
4788,39,14,26,29089
2752,25,28,26,50003
4789,36,17,1,65433
2753,28,26,22,78111
4916,40,0,21,21482
3955,45,4,1,86422
3406,47,9,16,91871
4195,25,19,2,90000
4213,65,28,8,58812
4105,48,0,16,8472461
4223,28,27,8,84034
3094,49,4,15,18000
4249,29,28,27,106954
4739,65,15,7,34454
3426,27,27,8,29089
3629,57,7,22,85000
3408,25,17,31,116103
2677,70,16,19,80646
3037,47,16,1,23867
4384,27,26,25,80504
4810,42,31,4,51000
3912,35,23,31,26638
3897,51,5,9,61289
3203,51,31,5,131666
3148,45,7,14,17500
4031,67,6,4,116103
4628,60,0,27,12185
2864,53,15,14,25028
4594,48,25,9,90000
4677,25,19,24,123825
4371,61,19,14,17384
2645,30,25,14,21482
4575,56,13,4,16000
4591,58,24,1,148823
3649,37,3,3,107500
3098,35,15,27,348821
2642,27,9,3,14002
3202,61,31,21,17768
4917,36,22,3,95124
3928,50,15,4,25720
4077,60,2,0,93817
3381,42,12,27,100310
3002,37,28,31,28739
2561,32,25,14,20073
3646,41,2,0,115773
2993,48,18,22,89590
2511,42,31,23,22674
2921,42,9,24,15002
2961,27,14,6,15143
3929,58,14,32,26000
3420,38,13,29,25050
4683,70,19,8,169637
3421,32,23,32,26221
3376,29,9,19,95106
3744,35,27,9,118527
3518,42,15,23,89590
4800,55,9,17,117348
3491,46,7,16,36082
3751,39,1,17,30000
3691,54,13,21,143705
2744,67,19,27,75503
2661,26,1,0,33709
4707,35,28,2,32665
3437,59,26,17,97628
2577,40,20,24,41502
3786,32,28,1,425518
3379,30,0,1,21482
7366,69,12,8,96605
7141,27,6,16,150604
3356,56,10,0,23778
3265,26,7,10,90000
3392,37,31,0,127134
4171,52,4,20,91492
5432,70,5,9,23649
2622,44,1,25,49548
4646,62,24,24,31000
5027,65,22,17,91871
5610,61,27,16,55000
5946,39,16,1,130969
6015,53,6,14,110625
7196,56,10,8,13969
5842,55,17,27,81959
6256,49,7,7,22567
5780,65,15,27,130000
5668,55,26,30,17768
7539,33,25,14,21500
5105,41,3,26,85787
6170,51,1,32,21482
7057,51,8,8,70000
4179,48,8,23,23271
5360,43,1,11,90000
5281,26,15,6,101225
7767,56,12,21,119219
6618,54,7,9,71596
6231,37,27,17,42979
7690,61,2,15,80646
6744,63,28,8,22088
8113,27,7,29,86478
7552,28,22,12,119084
7977,60,19,26,224207
6978,25,20,9,23271
7737,69,20,22,132500
5800,37,20,15,12795
6196,41,11,32,52304
5001,57,20,6,270008
5576,57,24,30,320000
7183,69,6,23,17814
7591,56,16,16,74307
8124,66,10,4,20000
6881,63,18,8,95000
5351,46,28,8,80646
6104,56,9,28,67334
5049,57,24,9,75503
7264,29,10,15,21482
7114,60,21,15,87615
5311,35,16,0,47315
5993,70,20,12,87615
5708,28,13,14,87615
6683,52,26,17,97380
7316,28,1,27,115773
5618,48,22,16,404939
7005,42,31,8,12795
7845,46,13,4,169637
7713,50,28,4,84036
6694,55,27,28,78000
6642,60,24,8,101258
5430,57,23,8,134001
6769,25,30,26,80000
8312,29,13,22,12795
6046,33,7,10,163283
5054,52,1,13,22037
7401,39,21,21,66496
5836,49,12,22,93924
7209,49,19,23,26638
6341,62,14,1,96732
7518,52,22,8,76278
5921,56,4,18,22078
5169,56,1,15,21482
6784,49,21,25,291469
6523,47,12,22,243000
7936,31,2,3,23649
6197,52,17,25,82033
8433,55,8,16,16500
7790,41,22,23,90000
7755,64,31,16,21482
6700,55,16,12,118309
7663,63,31,29,30000
5501,58,28,8,86478
8336,28,14,14,134312
7701,58,29,27,84801
7329,60,4,11,144425
8287,39,13,17,195003
6912,55,7,23,29335
5969,68,30,1,15143
5194,54,31,4,37000
5273,52,22,18,132150
7366,69,12,8,18001
7284,30,22,11,156523
5420,64,26,4,91872
6980,32,1,2,35430
7370,62,1,0,265000
8309,48,14,25,91000
7307,41,30,10,135243
5963,56,10,6,38500
6775,52,13,3,236342
7375,57,27,23,23867
7644,39,20,27,81983
5177,30,16,8,148225
6762,35,1,8,265000
6195,42,22,30,108658
7308,44,7,18,145044
5496,29,19,4,92465
8457,67,3,17,91871
5754,54,9,17,225569
5755,52,7,27,22634
5355,65,7,0,15143
5693,54,0,25,135753
5695,41,15,17,266000
5694,25,13,8,433136
6593,26,9,17,386385
6392,65,12,8,548476
7202,63,19,13,163826
6034,63,25,0,43500
6657,30,4,24,135009
8407,38,25,3,81242
5970,63,27,20,35665
7190,52,6,1,220836
7569,67,3,32,15143
7058,31,7,5,60570
5757,53,3,9,84630
5759,55,4,25,84270
8483,58,31,15,43000
5639,60,27,29,60781
5568,38,24,25,21862
5569,42,10,3,100771
6524,27,19,22,17384
6036,61,1,17,29000
6037,52,21,8,86377
7712,59,21,8,17768
7460,34,13,20,22674
6739,30,14,16,84036
6265,40,26,4,778971
7120,29,16,8,25000
7121,58,31,10,48605
7122,61,0,10,20669
6035,54,15,8,60361
5837,46,30,17,20669
5050,67,8,5,481714
7063,68,4,27,68000
7067,56,30,15,91871
6455,33,2,0,96457
8371,44,19,32,23000
5133,40,21,11,91871
5774,67,0,22,27000
5368,26,28,17,115368
7833,50,1,16,123138
7835,41,26,29,36500
7840,70,15,0,246233
7125,31,25,9,16317
7254,39,29,8,66897
6408,41,20,15,111055
6410,30,31,18,50000
6936,64,4,8,60345
7075,31,23,28,115773
7260,42,26,0,23867
7259,44,28,4,-44451
5906,64,17,27,20388
5974,27,20,14,20365
7262,66,20,0,-129861
5376,68,11,0,209519
5975,47,9,31,20669
5311,35,16,0,29000
5976,26,30,16,131750
6606,31,14,16,86000
7910,52,13,8,139198
7601,40,25,28,33483
6332,29,13,16,113000
7849,34,10,4,41767
5915,63,25,21,54304
5585,60,23,26,115000
5225,29,12,15,90186
7788,25,14,10,90186
5653,30,21,6,20073
5652,36,2,16,73296
6154,55,11,22,14000
5661,62,30,2,113390
5399,25,21,16,123825
8172,27,11,1,91002
5921,56,4,18,19000
5922,27,1,23,22003
6190,28,14,32,328093
6191,55,18,29,66043
6798,44,1,4,45170
5608,54,29,14,124980
6052,32,29,26,29335
6053,60,2,0,104446
6056,55,2,24,113390
5927,40,19,19,155000
6063,59,24,13,26761
6135,40,4,15,23649
5715,40,5,21,84036
6143,68,19,23,71890
7011,55,26,28,78707
5995,27,13,1,29023
6806,60,1,15,143703
6334,39,7,26,16850
5452,68,11,23,85216
6158,64,10,12,182789
6159,33,6,4,330036
5161,47,12,32,80000
6463,61,31,15,182549
5007,47,13,1,144301
5195,56,10,17,46839
5243,55,15,15,27234
6229,67,1,32,26101
5152,42,10,4,67925
5802,46,16,31,80504
5803,34,28,8,94411
5254,56,28,3,23867
5255,32,0,12,147879
6874,44,8,23,15143
7225,60,3,32,135000
7209,49,19,23,66005
5520,35,29,15,116369
5317,31,24,27,115000
5316,50,25,15,112408
5857,60,26,8,119622
6940,36,18,27,83251
7188,66,4,27,69471
5252,57,7,21,66559
7719,29,14,3,6546634
7275,49,22,21,90186
5944,59,15,21,115000
7277,59,13,9,24245
6485,39,30,22,807419
7629,58,27,12,32000
7630,46,6,4,36059
6210,41,31,0,111184
7660,42,21,25,21496
8449,53,22,16,176054
5287,59,22,16,157000
5267,43,17,23,35003
7504,56,7,20,66005
7505,59,3,20,24374
7503,61,16,15,40001
7502,33,22,8,73501
5534,49,13,22,83847
6216,33,25,2,17500
7635,49,21,0,18001
6186,55,1,6,19792
7831,61,20,23,94298
6610,33,27,23,92467
7288,49,9,12,93817
6437,45,11,16,115773
6276,28,12,13,23649
6551,44,6,15,80005
6667,44,20,1,45000
6553,61,24,2,67930
6554,25,14,21,92467
6558,42,5,30,91274
6556,41,1,14,91275
6557,49,1,0,91276
6555,65,6,23,91274
5681,49,7,21,-4110
7867,32,15,1,29685
7869,31,0,4,169637
7870,62,13,4,30920
6326,31,19,17,20089
6253,67,4,23,20388
5929,64,0,10,16104
7281,66,0,17,78074
7137,30,1,8,29685
6763,60,11,3,27000
6712,54,31,5,79673
6344,66,10,24,21482
7139,63,26,23,116369
7680,30,1,17,17500
7679,50,13,32,22000
6343,43,10,2,90000
7145,45,3,9,51079
5011,70,11,32,18000
5024,38,28,4,140631
5027,65,22,17,28425
5099,61,3,29,35765
6478,30,18,0,20387
6481,27,14,8,39180
7565,44,24,28,15623
5227,38,17,8,260086
7038,63,18,32,104077
7087,32,5,27,124424
7158,68,15,15,129983
5271,70,9,27,374402
5269,67,10,31,104522
5272,63,29,16,99145
6829,63,17,12,87074
7700,66,7,0,180907
5331,51,19,20,35283
5332,36,10,21,22000
5337,40,24,0,16317
5339,62,2,12,17384
7414,65,5,23,148946
5338,25,1,0,294125
7044,36,2,0,50420
5469,69,26,14,22000
5473,57,28,8,36500
7960,68,4,4,16317
6974,47,2,4,288108
5949,25,22,16,89595
6977,35,28,28,34029
6373,47,2,11,143825
6374,52,29,0,96374
6375,58,16,14,17384
5950,35,11,8,17768
5961,44,17,3,24374
7106,36,4,25,133486
5184,27,15,4,1299468
6028,55,4,11,92467
7216,31,10,23,25028
6093,28,13,6,147106
7222,55,24,12,107943
7221,53,8,27,48000
6630,32,29,4,127641
6024,65,26,20,43575
7425,54,16,9,17991
8160,59,3,8,122717
8190,64,6,16,20000
8341,29,15,17,103219
8265,67,1,17,67334
8136,62,15,28,25000
8200,45,10,15,18000
8140,25,8,11,1571673
8062,47,12,12,-2684
8176,47,20,8,66005
8027,29,2,17,46074
8308,53,15,0,870723
8298,52,4,18,17768
8299,38,15,8,22078
8210,63,9,8,21860
8309,48,14,25,90678
8211,68,30,11,350000
1593,38,8,16,65020
1483,41,27,23,20457
2443,62,0,27,115814
1780,64,29,1,21562
2309,36,24,5,17239
1307,43,12,8,89291
1214,49,24,28,17980
1766,25,29,8,91572
2283,44,16,0,81420
1640,36,23,27,85409
2221,33,9,15,81420
1731,25,25,8,66260
2041,40,31,8,14000
1839,68,31,4,28128
1274,35,11,4,130000
2341,48,24,12,21183
2103,30,23,17,106980
1236,34,12,21,66260
1196,27,6,16,33966
1130,66,17,12,73825
1403,43,11,13,16000
2012,51,7,32,105250
2220,54,4,19,17085
1904,45,22,26,75001
1806,70,15,16,87316
1506,25,19,17,20778
1454,44,7,9,21183
2396,49,0,27,79465
1099,64,27,22,21076
1031,34,10,3,89291
1195,44,6,12,50062
1727,34,11,0,108084
2287,38,15,29,110327
1736,31,13,22,21886
2487,57,15,25,327421
1387,62,5,8,20778
2295,61,15,14,170000
1080,28,8,27,94877
1049,50,2,4,23306
1716,51,6,0,112495
1075,56,4,21,30500
2483,62,9,32,14844
1191,48,28,24,18225
1984,32,30,32,18001
1807,38,18,23,84151
1527,25,13,27,19774
1340,70,17,1,-29667
1748,59,21,16,93095
1447,67,26,12,101925
1783,33,19,32,69834
1718,65,17,21,-50442
1087,30,6,24,103551
2266,43,3,12,40180
2442,68,2,12,26339
1152,65,17,23,60062
2302,40,8,14,14844
1663,70,31,8,12496
1530,38,20,0,18000
1741,43,8,16,31000
1965,64,10,4,93095
1938,31,15,8,97000
1118,37,5,27,108359
1184,26,28,14,722320
1142,63,27,9,515000
1911,68,1,23,118865
1429,59,26,11,17000
1943,61,18,31,139913
1043,49,20,19,20778
1289,29,10,14,90436
1374,52,20,32,21183
2391,50,11,8,26638
1566,53,22,27,17239
1668,43,3,32,33786
1334,29,16,22,15143
1221,67,30,25,90000
1621,46,9,25,22078
1090,30,0,23,80347
1650,67,15,17,81842
1651,59,3,10,108856
1587,55,2,4,-137555
1312,54,20,32,513696
1001,50,14,14,93095
1002,64,30,8,382858
1439,41,14,4,17000
1376,48,9,1,67334
1375,56,6,18,21482
1738,45,24,12,103850
1499,35,7,22,113390
1395,32,8,27,15000
1043,49,20,19,93095
1044,54,22,23,82378
1592,62,16,8,19792
1100,27,16,15,23867
1342,66,19,24,265000
1413,42,31,16,8637897
1414,37,27,25,258198
2199,29,6,17,20778
1148,48,30,21,420000
1149,48,1,29,296000
1425,42,5,31,44287
2193,39,14,8,33188
1106,65,11,0,56182
1107,38,16,17,65010
1736,31,13,22,18013
1740,30,1,15,78074
1741,43,8,16,22500
1130,66,17,12,89590
1108,49,27,8,27300
1569,26,28,27,33709
1719,46,15,6,80646
1630,28,0,16,78321
1220,49,15,8,21500
1216,56,11,30,18500
1534,53,12,0,24133
1598,58,30,1,32665
1537,39,1,32,116063
1057,48,2,22,101225
1635,54,19,4,30000
1661,62,9,32,143490
1662,62,22,4,72195
1327,60,29,1,311393
1561,39,13,22,89143
1723,46,6,0,90000
1062,57,25,26,38584
1784,28,23,15,86581
1785,37,21,23,90201
1742,39,25,0,19792
1794,64,30,6,26950
1909,32,26,0,93924
1910,66,14,6,115773
1859,37,7,5,102868
1945,41,11,3,171620
1870,60,26,20,140045
1881,48,16,27,43396
1840,63,5,17,6233706
1950,61,20,23,20778
1952,66,12,21,17980
1953,45,30,18,21780
1956,44,6,26,40000
4815,36,15,22,26638
3215,40,22,8,16000
3446,39,11,4,89448
4879,46,1,23,37000
4252,38,8,10,115773
2798,62,3,27,171346
4328,40,13,22,79153
2660,62,12,8,15143
4785,69,13,9,38584
4226,44,22,15,25720
4229,44,23,0,44585
4786,38,8,27,50003
2662,67,13,31,86422
2661,26,1,0,23000
4335,31,24,15,23649
3306,36,17,16,60005
2668,60,20,0,117500
4624,64,31,8,41965
4819,31,1,3,22078
2593,47,14,0,85000
3145,44,25,30,75503
2835,27,18,4,23271
3015,30,30,8,116103
4316,44,10,23,21482
2528,52,8,26,81979
3649,37,3,3,150604
2684,49,26,11,126756
4166,30,11,8,41422
4557,58,16,26,26936
4184,67,1,27,135828
3944,50,18,10,25720
3096,53,17,3,30977
4219,57,1,24,28739
3114,37,2,15,115773
3136,35,9,11,42000
2812,51,21,1,143490
3830,31,11,24,60005
3325,62,20,12,42124
3703,34,18,2,105549
4591,58,24,1,23778
4102,42,14,30,91866
3061,27,13,0,33034
3688,35,11,27,124823
2608,37,31,23,39678
3153,62,25,27,169935
2813,29,5,9,34454
2632,38,25,20,15143
2603,34,6,9,89099
3596,52,24,15,21482
3069,47,0,15,58812
4581,27,22,7,17980
3666,54,26,16,23001
3206,55,0,0,36310
3131,66,0,17,84988
4731,26,29,30,24817
2682,32,10,21,110588
3774,43,7,16,101139
3790,63,30,4,100578
4390,57,7,18,151000
4746,44,1,32,152167
4153,56,0,18,26735
4756,42,26,12,89590
4623,64,21,15,25000
3843,68,23,2,105549
4732,45,26,0,16700
4290,57,15,23,60005
4130,32,1,22,89590
4564,50,21,4,83441
3575,56,0,29,17768
4281,53,28,4,37500
3857,68,23,23,112794
3414,52,22,3,250488
2654,40,29,30,103850
2886,67,0,4,169442
4899,36,27,7,75503
3358,51,3,22,49056
4898,27,8,8,81979
3943,37,4,1,343713
3622,36,21,21,91871
3942,57,8,3,143490
3262,47,2,15,17768
4918,66,26,16,140000
2844,37,9,0,89590
3192,62,5,9,73039
3678,64,9,17,135371
3652,34,26,14,23500
4458,30,12,15,80646
3210,59,30,22,18000
4177,67,2,21,145000
3732,31,17,8,370704
3394,40,17,23,21482
3433,53,18,11,83251
2771,49,11,27,275971
3944,50,18,10,36500
2983,31,28,8,84716
3791,64,4,27,19792
2877,57,23,0,21581
3507,37,13,3,113789
4331,47,17,19,50003
4134,36,23,4,85000
4958,67,24,12,77478
3548,55,2,10,29858
3740,60,31,10,-81000
3511,29,31,15,89590
3805,35,21,13,113092
4417,31,1,3,65433
3566,39,0,5,224806
4676,56,14,6,110037
4365,52,11,17,21482
2713,68,30,9,58812
3343,46,22,23,23867
3035,34,5,4,112794
4522,43,23,8,57938
4743,39,27,18,21482
3864,28,6,18,37091
3672,68,5,8,1130013
4025,55,13,28,100201
3210,59,30,22,145997
3084,29,22,17,65012
2768,32,11,23,85000
4432,61,24,23,275000
3353,54,0,23,113999
3532,39,8,22,26638
2848,51,17,10,212931
3871,35,21,26,20778
3792,38,2,22,18000
2520,55,21,12,22567
3281,48,16,0,145087
2980,58,31,13,95000
3812,59,30,8,309150
3526,37,20,15,0
3455,28,15,8,32665
4246,70,8,15,20778
3256,53,4,1,22037
4817,48,11,8,12795
3815,67,31,6,14000
2987,44,13,17,92393
4434,34,1,3,20778
2955,59,12,23,18000
4809,66,30,23,87805
4781,59,31,21,21862
4552,48,19,22,1923324
3291,33,5,27,112244
4968,46,31,15,86478
3293,45,0,8,142262
2932,37,9,16,70759
4755,42,16,15,25004
3102,32,8,9,82632
2634,67,1,12,135309
4671,66,7,8,150258
3108,58,17,28,195000
4209,59,7,0,56614
4084,41,24,29,18008
2782,55,29,27,21482
3111,65,7,17,100578
3110,62,1,23,17768
3595,38,1,27,26500
4085,65,15,27,69377
3112,63,0,26,98023
4273,49,28,22,103850
4354,34,21,17,17500
4317,62,28,3,669799
4459,47,19,0,6878701
3839,27,7,12,107831
3840,60,1,23,33709
4605,60,2,4,51000
4633,69,12,32,212307
4998,45,29,18,98429
3579,49,24,15,35000
3942,57,8,3,18000
3468,40,0,8,123194
3696,63,9,16,17991
4861,62,5,19,73039
3451,56,26,32,85004
2574,42,24,0,331481
4499,53,30,7,20778
4555,25,23,5,36310
4419,43,22,20,213036
3056,27,25,6,143705
3329,68,5,16,80646
2601,70,4,24,58812
4608,55,0,18,20778
3042,61,22,14,156113
4690,47,11,5,131231
3559,60,15,6,23649
2659,36,24,0,120215
3655,43,22,30,17500
3694,31,25,32,90000
2945,40,26,2,36701
3803,30,17,17,85000
3479,64,5,11,163283
2965,42,1,32,41157
4790,70,3,0,86891
3963,26,30,9,200023
3384,49,17,30,16850
4915,55,11,32,111829
